liveId,liveName,itemId,itemName,thumbnailUrl,category,type,brand,rarity,nice,color
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-001,ファンタジータイムドリームワンピ,http://pripara.jp/item/image/53652.jpg,ワンピース,ラブリー,FantasyTime Dream,夢,2550,ピンク
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-002,ファンタジータイムドリームシューズ,http://pripara.jp/item/image/53653.jpg,シューズ,ラブリー,FantasyTime Dream,夢,1400,白
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-004,あさのワンピ,http://pripara.jp/item/image/53500.jpg,ワンピース,プレミアム,Clockgarden,夢,2550,黄
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-005,あさのシューズ,http://pripara.jp/item/image/53501.jpg,シューズ,プレミアム,Clockgarden,夢,1400,黄
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-006,あさのヘアアクセ,http://pripara.jp/item/image/53502.jpg,ヘアアクセ,プレミアム,Clockgarden,夢,1000,黄
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-007,ひるのワンピ,http://pripara.jp/item/image/53503.jpg,ワンピース,プレミアム,Clockgarden,夢,2550,ピンク
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-008,ひるのシューズ,http://pripara.jp/item/image/53504.jpg,シューズ,プレミアム,Clockgarden,夢,1400,水色
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-009,ひるのヘアアクセ,http://pripara.jp/item/image/53505.jpg,ヘアアクセ,プレミアム,Clockgarden,夢,1000,ピンク
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-010,よるのワンピ,http://pripara.jp/item/image/53506.jpg,ワンピース,プレミアム,Clockgarden,夢,2550,紫
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-011,よるのシューズ,http://pripara.jp/item/image/53507.jpg,シューズ,プレミアム,Clockgarden,夢,1400,紫
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-012,よるのヘアアクセ,http://pripara.jp/item/image/53508.jpg,ヘアアクセ,プレミアム,Clockgarden,夢,1000,紫
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-013,レインボーパープルパフェトップス,http://pripara.jp/item/image/53509.jpg,トップス,クール,BabyMonster,PR,1130,紫
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-014,レインボーパープルパフェスカート,http://pripara.jp/item/image/53510.jpg,ボトムス,クール,BabyMonster,PR,1080,紫
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-015,レインボーパープルパフェシューズ,http://pripara.jp/item/image/53511.jpg,シューズ,クール,BabyMonster,PR,1130,紫
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-016,レインボーパープルパフェヘアアクセ,http://pripara.jp/item/image/53512.jpg,ヘアアクセ,クール,BabyMonster,PR,800,紫
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-017,レインボーブルースマイルトップス,http://pripara.jp/item/image/53513.jpg,トップス,ラブリー,TwinkleRibbon,PR,1130,水色
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-018,レインボーブルースマイルスカート,http://pripara.jp/item/image/53514.jpg,ボトムス,ラブリー,TwinkleRibbon,PR,1080,水色
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-019,レインボーブルースマイルシューズ,http://pripara.jp/item/image/53515.jpg,シューズ,ラブリー,TwinkleRibbon,PR,1130,水色
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-020,レインボーブルースマイルヘアアクセ,http://pripara.jp/item/image/53516.jpg,ヘアアクセ,ラブリー,TwinkleRibbon,PR,800,水色
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-021,マーチングフェザーレッドトップス,http://pripara.jp/item/image/53517.jpg,トップス,セレブ,RichVenus,PR,1130,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-022,マーチングフェザーレッドスカート,http://pripara.jp/item/image/53518.jpg,ボトムス,セレブ,RichVenus,PR,1080,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-023,マーチングフェザーレッドシューズ,http://pripara.jp/item/image/53519.jpg,シューズ,セレブ,RichVenus,PR,1130,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-024,マーチングフェザーレッドヘアアクセ,http://pripara.jp/item/image/53520.jpg,ヘアアクセ,セレブ,RichVenus,PR,800,赤
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-025,ディアマイフューチャーサイリウムワンピ,http://pripara.jp/item/image/53521.jpg,ワンピース,プレミアム,PrismStone,CR,1690,赤
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-026,ディアマイフューチャーサイリウムシューズ,http://pripara.jp/item/image/53522.jpg,シューズ,プレミアム,PrismStone,CR,1020,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-027,ディアマイフューチャーサイリウムヘアアクセ,http://pripara.jp/item/image/53523.jpg,ヘアアクセ,プレミアム,PrismStone,CR,600,シルバー
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-028,アイドルウォッチタンザナイトワンピ,http://pripara.jp/item/image/53524.jpg,ワンピース,プレミアム,Clockgarden,CR,1690,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-029,アイドルウォッチタンザナイトシューズ,http://pripara.jp/item/image/53525.jpg,シューズ,プレミアム,Clockgarden,CR,1020,ゴールド
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-030,アイドルウォッチタンザナイトヘアアクセ,http://pripara.jp/item/image/53526.jpg,ヘアアクセ,プレミアム,Clockgarden,CR,600,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-031,ギャラティックレッドワンピ,http://pripara.jp/item/image/53527.jpg,ワンピース,プレミアム,なし,CR,1690,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-032,ギャラティックレッドシューズ,http://pripara.jp/item/image/53528.jpg,シューズ,プレミアム,なし,CR,1020,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-033,ギャラティックパープルワンピ,http://pripara.jp/item/image/53529.jpg,ワンピース,プレミアム,なし,CR,1690,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-034,ギャラティックパープルシューズ,http://pripara.jp/item/image/53530.jpg,シューズ,プレミアム,なし,CR,1020,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-035,ロイヤルファーサルビアトップス,http://pripara.jp/item/image/53531.jpg,トップス,セレブ,Clockgarden,SR,930,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-036,ロイヤルファーサルビアスカート,http://pripara.jp/item/image/53532.jpg,ボトムス,セレブ,Clockgarden,SR,880,青
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-037,ロイヤルファーサルビアシューズ,http://pripara.jp/item/image/53533.jpg,シューズ,セレブ,Clockgarden,SR,930,青
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-038,ロイヤルファーサルビアヘアアクセ,http://pripara.jp/item/image/53534.jpg,ヘアアクセ,セレブ,Clockgarden,SR,500,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-039,ハイクラスファーブラウンワンピ,http://pripara.jp/item/image/53535.jpg,ワンピース,セレブ,RichVenus,SR,1510,茶
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-040,ハイクラスファーブラウンシューズ,http://pripara.jp/item/image/53536.jpg,シューズ,セレブ,RichVenus,SR,930,黒
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-041,ハイクラスファーブラウンヘアアクセ,http://pripara.jp/item/image/53537.jpg,ヘアアクセ,セレブ,RichVenus,SR,500,茶
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-042,アメカジレトロスカジャン,http://pripara.jp/item/image/53538.jpg,トップス,ポップ,CandyAlamode,R,730,白
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-043,アメカジレトロスカート,http://pripara.jp/item/image/53539.jpg,ボトムス,ポップ,CandyAlamode,R,680,赤
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-044,アメカジレトロシューズ,http://pripara.jp/item/image/53540.jpg,シューズ,ポップ,CandyAlamode,R,730,赤
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-045,アメカジレトロヘアアクセ,http://pripara.jp/item/image/53541.jpg,ヘアアクセ,ポップ,CandyAlamode,R,400,赤
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-046,パッションニットトップス,http://pripara.jp/item/image/53542.jpg,トップス,プレミアム,PrismStone,R,730,白
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-047,パッションラインスカート,http://pripara.jp/item/image/53543.jpg,ボトムス,プレミアム,PrismStone,R,680,赤
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-048,パッションリボンシューズ,http://pripara.jp/item/image/53544.jpg,シューズ,プレミアム,PrismStone,R,730,白
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-049,パッションベレーヘアアクセ,http://pripara.jp/item/image/53545.jpg,ヘアアクセ,プレミアム,PrismStone,R,400,赤
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-050,プニコンラブリートップス,http://pripara.jp/item/image/53546.jpg,トップス,ラブリー,FantasyTime,R,730,黄
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-051,プニコンラブリースカート,http://pripara.jp/item/image/53547.jpg,ボトムス,ラブリー,FantasyTime,R,680,ピンク
time6dan,プリパラTV トモチケランウェイ ずっトモ！アイドルペアライブ タイム6弾,T6-052,プニコンラブリーシューズ,http://pripara.jp/item/image/53548.jpg,シューズ,ラブリー,FantasyTime,R,730,黄
